country,destination,attractiveness,cost,rating,visitors,destination_original,review_count,avg_review_score,sentiment_score,flight_cost_level,weather_penalty,bad_weather_share,historical_budget,avg_conversion_rate,avg_roi,campaign_efficiency,campaign_quality_alerts,demand_index,demand_lag_1,demand_ma_3,demand_growth,quality_score,tourism_score,attractiveness_cost_ratio,forecasted_demand,marketing_priority,recommended_budget,business_rule_weather_ok,forecast_next_period
Italy,Rome,8.28,1344,4.93,19728764,City_21,0.0,4.93,0.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,116.3,118.7,118.99999999999996,-0.0202190395956192,0.9729154686601494,0.5402893300228682,0.0061607142857142,18363373.972535804,0.5087035319319352,63200.0,True,120.22269841564314
Japan,Nara,8.47,232,4.94,17762779,City_10,0.0,4.94,0.0,2.0,0.7,1.0,0.0,0.0,0.0,0.0,0.0,127.5,126.9,86.64999999999995,0.0047281323877068,0.9778284933870044,0.5890118971197811,0.0365086206896551,15348216.842789598,0.5050978106209659,62900.0,False,131.62151742023389
Germany,Munich,8.65,715,4.63,18407562,City_7,0.0,4.63,0.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,139.7,135.9,76.19999999999999,0.0279617365710079,0.8255247268545141,0.6741960226278667,0.012097902097902,17976155.92958057,0.493940650939037,62000.0,True,136.89617138486955
Morocco,Agadir,8.57,1265,4.88,18487030,City_20,2.0,1.675,0.5,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,99.8,86.7,136.6,0.1510957324106112,0.5647732173663024,0.5265431812180249,0.0067747035573122,20216324.2710496,0.4912701042879675,61800.0,True,103.7074520451761
Portugal,Madeira,8.91,304,3.74,15556141,City_14,0.0,3.74,0.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,89.6,65.5,73.54999999999997,0.3679389312977098,0.3882655261644625,0.440349363682835,0.0293092105263157,19950750.8325,0.490718445315328,61800.0,True,76.99807786585852
Portugal,Guimarães,7.7,364,4.91,4895032,City_4,1.0,4.87,1.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,89.6,65.5,73.54999999999997,0.3679389312977098,0.9583021851638872,0.1831116346890304,0.0211538461538461,6277878.54,0.4902814784098213,61800.0,True,76.99807786585852
Portugal,Lisbon,8.34,1241,4.04,18601251,City_45,0.0,4.04,0.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,89.6,65.5,73.54999999999997,0.3679389312977098,0.5356562679700978,0.4113125653291364,0.0067203867848509,23856104.4075,0.4887455717865781,61700.0,True,76.99807786585852
Morocco,Marrakech,7.79,1398,4.38,19352408,City_5,0.0,4.38,0.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,99.8,86.7,136.6,0.1510957324106112,0.7026991086831512,0.4021104989247018,0.0055722460658082,21162650.54763552,0.4847421117998826,61400.0,True,103.7074520451761
France,Paris,9.78,1045,4.01,19828499,City_17,1.0,4.87,0.0,2.0,0.25,0.0,20000.0,0.15,10000.0,0.5,0.0,84.9,81.2,73.65,0.0455665024630542,0.6238427257044278,0.5976997578692492,0.0093588516746411,19695413.631096058,0.4742006525694694,60600.0,True,83.35657903943562
Germany,Bonn,7.82,466,4.78,9739174,City_40,0.0,4.78,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.7,135.9,76.19999999999999,0.0279617365710079,0.8992200977573319,0.4658679864418684,0.0167811158798283,10011498.21780721,0.465784423116674,59900.0,True,136.89617138486955
Italy,Palermo,9.59,831,4.97,7864470,City_50,1.0,4.52,1.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,116.3,118.7,118.99999999999996,-0.0202190395956192,0.938711184588844,0.5667868301168582,0.0115403128760529,7320185.071187868,0.4629728056707208,59700.0,True,120.22269841564314
Portugal,Albufeira,9.88,1469,4.93,13516617,City_44,1.0,1.4,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.6,65.5,73.54999999999997,0.3679389312977098,0.5504420644048302,0.5510160334952404,0.0067256637168141,18247432.950000003,0.4613733227303579,59600.0,True,76.99807786585852
USA,Honolulu,8.32,295,4.26,7735006,City_49,3.0,1.53,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.9,105.5,86.64999999999995,0.1459715639810427,0.3170140885566416,0.4783107263121108,0.0282033898305084,8864096.923222749,0.456252317820344,59200.0,True,113.7610822136214
USA,Los Angeles,7.86,316,4.88,12542552,City_28,1.0,2.67,0.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,120.9,105.5,86.64999999999995,0.1459715639810427,0.683855664174813,0.4418027763570769,0.0248734177215189,13654737.535165874,0.4537341900716716,59000.0,True,113.7610822136214
USA,Chicago,7.95,692,4.86,8612230,City_7,1.0,3.4,1.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,120.9,105.5,86.64999999999995,0.1459715639810427,0.7637902530189765,0.4026722347778392,0.0114884393063583,9375902.148341233,0.4520161854238786,58900.0,True,113.7610822136214
Japan,Okinawa,9.35,373,4.27,13862653,City_45,0.0,4.27,0.0,3.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,127.5,126.9,86.64999999999995,0.0047281323877068,0.6486558366877515,0.643992839450522,0.0250670241286863,13231787.5856974,0.4410320815195869,58100.0,True,131.62151742023389
France,Bordeaux,9.85,1319,4.73,14493600,City_46,0.0,4.73,0.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,84.9,81.2,73.65,0.0455665024630542,0.8746549741230594,0.5169677246555204,0.0074677786201667,14396321.527093597,0.4386198900540596,57900.0,True,83.35657903943562
Italy,Milan,7.66,600,3.85,17307021,City_41,2.0,4.035,0.5,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,116.3,118.7,118.99999999999996,-0.0202190395956192,0.4644497556066706,0.4788966871088556,0.0127666666666666,16109235.174262846,0.436902391026,57800.0,True,120.22269841564314
Japan,Sapporo,9.1,1198,4.57,15697117,City_28,0.0,4.57,0.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,127.5,126.9,86.64999999999995,0.0047281323877068,0.7960465784933872,0.6375797686580442,0.0075959933222036,14982768.294917258,0.4297298063647172,57200.0,True,131.62151742023389
Germany,Dresden,8.12,822,4.62,14841366,City_22,4.0,2.6050000000000004,0.5,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,139.7,135.9,76.19999999999999,0.0279617365710079,0.5794547872340426,0.6518349706299037,0.0098783454987834,14493538.548123617,0.4292788487191695,57200.0,True,136.89617138486955
Morocco,Rabat,7.86,1376,4.43,14927048,City_42,0.0,4.43,0.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,99.8,86.7,136.6,0.1510957324106112,0.7272642323174237,0.354333517735182,0.0057122093023255,16323338.18777393,0.4254170050313246,56900.0,True,103.7074520451761
Germany,Bremen,9.69,1122,4.33,10060658,City_35,1.0,4.22,1.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,139.7,135.9,76.19999999999999,0.0279617365710079,0.6649690914318575,0.7132350935085752,0.0086363636363636,9824872.895290652,0.4253372452638152,56900.0,True,136.89617138486955
France,Montpellier,8.1,648,4.97,9907832,City_33,0.0,4.97,0.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,84.9,81.2,73.65,0.0455665024630542,0.9925675675675674,0.2512257083895849,0.0124999999999999,9841332.388669953,0.4225237398465645,56700.0,True,83.35657903943562
Portugal,Porto,8.37,1139,4.43,15766396,City_38,1.0,3.24,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.6,65.5,73.54999999999997,0.3679389312977098,0.5848440195514664,0.4003746753464252,0.0073485513608428,21284634.6,0.4223061955034642,56700.0,True,76.99807786585852
Germany,Berlin,9.91,1498,4.26,18723722,City_5,2.0,1.475,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.7,135.9,76.19999999999999,0.0279617365710079,0.310431641748131,0.8705513493424248,0.0066154873164218,19247269.782192785,0.4216313753629326,56600.0,True,136.89617138486955
USA,Orlando,7.68,812,4.4,12134970,City_13,2.0,3.69,0.5,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,120.9,105.5,86.64999999999995,0.1459715639810427,0.6275517538815414,0.4367101769128542,0.0094581280788177,13211014.022274882,0.4209426958541165,56600.0,True,113.7610822136214
Morocco,Safi,8.33,755,3.68,18701659,City_46,0.0,3.68,0.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,99.8,86.7,136.6,0.1510957324106112,0.3587873778033354,0.4579314301215899,0.0110331125827814,20451029.87070357,0.4205332829875302,56500.0,True,103.7074520451761
Spain,Alicante,9.28,1419,4.86,10320379,City_3,3.0,2.31,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.3,66.4,112.1,0.3298192771084335,0.633338125359402,0.4762505311098938,0.0065398167723749,13724238.94126506,0.4178887110446841,56300.0,True,73.14060331186006
Portugal,Óbidos,7.3,203,3.65,4555595,City_42,2.0,4.01,1.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,89.6,65.5,73.54999999999997,0.3679389312977098,0.3871334100057504,0.152780933886498,0.0359605911330049,5842550.587499999,0.415827302595784,56200.0,True,76.99807786585852
USA,New York,7.4,1404,4.32,19450528,City_46,3.0,3.123333333333333,-0.3333333333333333,3.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,120.9,105.5,86.64999999999995,0.1459715639810427,0.5300028752156414,0.5176276140579663,0.0052706552706552,21175264.392796207,0.4157565494394736,56200.0,True,113.7610822136214
Germany,Stuttgart,9.9,907,3.57,15744515,City_8,2.0,4.3100000000000005,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.7,135.9,76.19999999999999,0.0279617365710079,0.3933079355951697,0.8316097693291605,0.010915104740904,16184758.980868282,0.4151327365806644,56100.0,True,136.89617138486955
Portugal,Sintra,9.46,1034,4.99,13691269,City_27,1.0,4.44,-1.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,89.6,65.5,73.54999999999997,0.3679389312977098,0.9365691489361704,0.5033988692411862,0.0091489361702127,17559052.4925,0.4113777191421221,55900.0,True,76.99807786585852
Germany,Heidelberg,8.84,504,3.73,14805417,City_49,5.0,3.18,0.6,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,139.7,135.9,76.19999999999999,0.0279617365710079,0.3175280333525015,0.7582316934301297,0.0175396825396825,14458432.061479025,0.4097129902578511,55700.0,True,136.89617138486955
Japan,Tokyo,7.79,397,4.29,19493149,City_43,1.0,4.92,0.0,1.0,0.7,1.0,0.0,0.0,0.0,0.0,0.0,127.5,126.9,86.64999999999995,0.0047281323877068,0.7338808223116735,0.5516912776044831,0.0196221662468513,16843371.062647752,0.406504010631267,55500.0,False,131.62151742023389
Germany,Frankfurt,7.34,609,3.91,17524235,City_11,0.0,3.91,0.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,139.7,135.9,76.19999999999999,0.0279617365710079,0.4717869465209893,0.5075779948066752,0.0120525451559934,17113530.89054451,0.4043090798211236,55300.0,True,136.89617138486955
Morocco,Chefchaouen,9.44,1043,4.82,13620024,City_23,3.0,2.4233333333333333,0.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,99.8,86.7,136.6,0.1510957324106112,0.6320370902817711,0.5895130979659868,0.0090508149568552,14894053.926643595,0.3980589871033723,54900.0,True,103.7074520451761
Spain,Malaga,8.3,910,4.82,11919051,City_15,7.0,2.7971428571428567,-0.1428571428571428,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,88.3,66.4,112.1,0.3298192771084335,0.6767749322270599,0.465953412302462,0.0091208791208791,15057674.595406624,0.3975210302224431,54800.0,True,73.14060331186006
Japan,Yokohama,7.44,902,4.86,16362558,City_26,1.0,1.87,0.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,127.5,126.9,86.64999999999995,0.0047281323877068,0.5806785508913169,0.4704922429426828,0.0082483370288248,15617926.223404257,0.3934298988195996,54500.0,True,131.62151742023389
Japan,Kamakura,9.04,619,4.31,8907609,City_39,0.0,4.31,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.5,126.9,86.64999999999995,0.0047281323877068,0.6683079355951695,0.5444184895675312,0.0146042003231017,8949725.354609929,0.3922721934941078,54400.0,True,131.62151742023389
France,Annecy,9.38,287,4.22,9376241,City_3,5.0,2.942,-0.2,2.0,0.25,0.0,100000.0,0.02,55000.0,1.1,1.0,84.9,81.2,73.65,0.0455665024630542,0.4711385853939045,0.5034961821950047,0.0326829268292682,9313309.333189655,0.3868852376427757,54000.0,True,83.35657903943562
Morocco,Dakhla,8.1,491,4.84,6570333,City_26,1.0,4.65,0.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,99.8,86.7,136.6,0.1510957324106112,0.9059588844163312,0.2983330007314209,0.0164969450101832,7184928.162975778,0.3830489744643795,53700.0,True,103.7074520451761
France,Lyon,8.65,1416,4.4,15139847,City_25,4.0,3.49,0.0,3.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,84.9,81.2,73.65,0.0455665024630542,0.6036155836687753,0.468498941111529,0.0061087570621468,15038231.031834977,0.3824103008698991,53700.0,True,83.35657903943562
Japan,Fukuoka,9.33,823,3.7,15626114,City_12,2.0,4.505,-0.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.5,126.9,86.64999999999995,0.0047281323877068,0.4649565123634274,0.7068252344541595,0.0113365735115431,15699996.3356974,0.3809819167133168,53600.0,True,131.62151742023389
Italy,Bologna,7.94,1451,4.57,12170856,City_32,2.0,3.175,0.5,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,116.3,118.7,118.99999999999996,-0.0202190395956192,0.6290917912593446,0.4470270121304455,0.0054720882150241,11328534.331592249,0.3805274044852077,53500.0,True,120.22269841564314
Japan,Nagoya,9.18,1036,4.39,15388243,City_40,2.0,3.115,0.0,2.0,0.25,0.0,100000.0,0.01,5000.0,0.05,0.0,127.5,126.9,86.64999999999995,0.0047281323877068,0.5550190483036228,0.686014113124877,0.0088610038610038,14687950.617612291,0.3788036052972962,53400.0,True,131.62151742023389
France,Aix-en-Provence,9.4,997,4.67,4768302,City_32,3.0,4.666666666666667,0.6666666666666666,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,84.9,81.2,73.65,0.0455665024630542,0.8447778895917195,0.4046160526008569,0.0094282848545636,4736298.002586207,0.3693169328099849,52700.0,True,83.35657903943562
France,Cannes,9.21,228,4.35,13692704,City_31,2.0,2.225,-1.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,84.9,81.2,73.65,0.0455665024630542,0.4336382259919492,0.4737430034671339,0.0403947368421052,13600800.999014778,0.3677876330347229,52600.0,True,83.35657903943562
Japan,Nikko,9.4,938,4.2,9216499,City_9,3.0,3.803333333333333,0.6666666666666666,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,127.5,126.9,86.64999999999995,0.0047281323877068,0.5667912593444508,0.6553305948401791,0.0100213219616204,8797072.03605201,0.3652144147545798,52400.0,True,131.62151742023389
Germany,Rothenburg ob der Tauber,9.22,830,4.3,9708898,City_38,2.0,4.23,0.5,3.0,0.35,0.5,0.0,0.0,0.0,0.0,0.0,139.7,135.9,76.19999999999999,0.0279617365710079,0.655017251293847,0.6744431400330336,0.0111084337349397,9281749.35289183,0.3623514884761802,52200.0,True,136.89617138486955
Japan,Kyoto,8.2,1246,4.14,19301378,City_50,1.0,1.68,0.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,127.5,126.9,86.64999999999995,0.0047281323877068,0.2903716216216215,0.5979050541103338,0.0065810593900481,18423005.59692671,0.3609684204693433,52100.0,True,131.62151742023389
Germany,Cologne,7.7,1086,3.59,17909523,City_24,1.0,3.75,0.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,139.7,135.9,76.19999999999999,0.0279617365710079,0.3337190914318574,0.5766011400758516,0.0070902394106813,17489789.146026485,0.3598810488582247,52000.0,True,136.89617138486955
France,Nice,7.97,956,4.08,17971236,City_23,3.0,1.5599999999999998,0.3333333333333333,2.5,0.35,0.5,0.0,0.0,0.0,0.0,0.0,84.9,81.2,73.65,0.0455665024630542,0.2537126221966648,0.4022742628167674,0.008336820083682,17474813.80359606,0.3588827402102567,51900.0,True,83.35657903943562
Portugal,Lagos,7.1,894,3.88,5368127,City_21,2.0,3.545,0.0,2.0,0.25,0.0,30000.0,0.0,150000.0,5.0,0.0,89.6,65.5,73.54999999999997,0.3679389312977098,0.4169547872340426,0.139349242640056,0.0079418344519015,6884622.8775,0.3584411143877374,51900.0,True,76.99807786585852
USA,San Francisco,9.76,546,4.07,8611891,City_31,3.0,4.173333333333333,0.6666666666666666,2.0,0.4666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,120.9,105.5,86.64999999999995,0.1459715639810427,0.5627623634272572,0.6602708442397835,0.0178754578754578,8947877.192947866,0.3576366846324765,51800.0,True,113.7610822136214
Morocco,Ifrane,8.92,523,4.93,7886254,City_36,1.0,2.65,1.0,3.0,0.7,1.0,0.0,0.0,0.0,0.0,0.0,99.8,86.7,136.6,0.1510957324106112,0.7000431282346175,0.4122976481310531,0.0170554493307839,7806936.658731257,0.3572895023011106,51800.0,False,103.7074520451761
Japan,Hakone,7.27,1007,4.72,10667972,City_48,4.0,3.4025,-0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.5,126.9,86.64999999999995,0.0047281323877068,0.7120624281196088,0.4424416481952142,0.0072194637537239,10718411.58392435,0.3522875390054471,51400.0,True,131.62151742023389
Spain,Cadiz,8.85,863,4.67,11402036,City_6,1.0,1.21,0.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,88.3,66.4,112.1,0.3298192771084335,0.431081081081081,0.3960841508328948,0.0102549246813441,14404514.90753012,0.3518875190476547,51400.0,True,73.14060331186006
Morocco,Casablanca,7.49,486,3.72,18924707,City_22,2.0,3.46,-1.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,99.8,86.7,136.6,0.1510957324106112,0.3473224554341577,0.4039542170566453,0.0154115226337448,20694941.99158016,0.3481777919192008,51100.0,True,103.7074520451761
Germany,Hamburg,7.61,1342,4.51,18288172,City_26,1.0,1.66,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.7,135.9,76.19999999999999,0.0279617365710079,0.4254780046003449,0.5707217481431122,0.0056706408345752,18799541.04782928,0.3472609320299518,51000.0,True,136.89617138486955
Spain,Palma de Mallorca,7.6,236,3.76,10895298,City_49,3.0,2.08,-0.3333333333333333,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,88.3,66.4,112.1,0.3298192771084335,0.1970277458309373,0.2842143779682836,0.0322033898305084,13764338.444728917,0.3463644931931745,51000.0,True,73.14060331186006
France,Marseille,7.3,257,4.5,16963323,City_14,4.0,2.2375,-0.25,1.0,0.7,1.0,0.0,0.0,0.0,0.0,0.0,84.9,81.2,73.65,0.0455665024630542,0.4908774798734905,0.331438146113259,0.0284046692607003,15253202.777364532,0.3429494851515883,50700.0,False,83.35657903943562
Germany,Leipzig,7.99,1115,3.66,12196358,City_13,0.0,3.66,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.7,135.9,76.19999999999999,0.0279617365710079,0.3489613283496264,0.5171770813223009,0.0071659192825112,12537389.349521704,0.3417318825591483,50600.0,True,136.89617138486955
Spain,Girona,8.84,1003,4.8,3726013,City_16,3.0,2.5466666666666664,0.3333333333333333,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.3,66.4,112.1,0.3298192771084335,0.6393652961472109,0.3404775178332963,0.0088135593220338,4954923.914156626,0.339705289866476,50500.0,True,73.14060331186006
Morocco,Meknès,7.41,979,3.64,10769405,City_29,0.0,3.64,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,86.7,136.6,0.1510957324106112,0.3391352788959173,0.2482543672931052,0.0075689479060265,12396616.1361015,0.3392250312129303,50400.0,True,103.7074520451761
Germany,Potsdam,8.12,372,4.0,9908694,City_2,6.0,3.313333333333333,0.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,139.7,135.9,76.19999999999999,0.0279617365710079,0.4338233179988499,0.6321809423413947,0.0218279569892473,9676470.37682119,0.3333321700808173,50000.0,True,136.89617138486955
Portugal,Aveiro,7.72,399,3.87,7816399,City_13,3.0,2.7433333333333336,0.3333333333333333,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,89.6,65.5,73.54999999999997,0.3679389312977098,0.3172944220816562,0.2653637987314432,0.0193483709273182,10024531.7175,0.3328323442047146,50000.0,True,76.99807786585852
Morocco,Taroudant,9.93,1117,4.61,638112,City_35,1.0,4.34,1.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,99.8,86.7,136.6,0.1510957324106112,0.7833848476135712,0.4402733069318648,0.0088898836168307,697801.6,0.3292669869260546,49700.0,True,103.7074520451761
Italy,Cinque Terre,9.42,623,3.68,7633850,City_20,1.0,4.52,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.3,118.7,118.99999999999996,-0.0202190395956192,0.4593192926969524,0.5436947185004147,0.0151203852327447,7479500.884582982,0.3284551253920251,49600.0,True,120.22269841564314
France,Nantes,8.4,1451,4.44,8991087,City_36,3.0,3.68,-0.3333333333333333,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.9,81.2,73.65,0.0455665024630542,0.6412198102357679,0.3394868416295722,0.00578911095796,9400779.387931036,0.3284174876089852,49600.0,True,83.35657903943562
Germany,Lübeck,9.9,212,3.91,3921735,City_37,3.0,4.953333333333333,-0.6666666666666666,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,139.7,135.9,76.19999999999999,0.0279617365710079,0.596653967797585,0.7032096426408919,0.0466981132075471,3829823.844922736,0.3261647392298388,49500.0,True,136.89617138486955
Italy,Sorrento,8.54,1433,4.81,9641081,City_14,1.0,3.07,0.0,1.6666666666666667,0.2333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,116.3,118.7,118.99999999999996,-0.0202190395956192,0.7057144910868314,0.4647253408336632,0.0059595254710397,9005327.380112328,0.3259296462075072,49400.0,True,120.22269841564314
Italy,Florence,8.48,1228,4.7,17098553,City_43,2.0,3.25,-1.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,116.3,118.7,118.99999999999996,-0.0202190395956192,0.6863786658999426,0.5735429322973639,0.0069055374592833,15915194.845871944,0.3255172781305273,49400.0,True,120.22269841564314
USA,Santa Fe,7.18,998,4.61,323057,City_34,1.0,4.59,1.0,3.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,120.9,105.5,86.64999999999995,0.1459715639810427,0.8133050603795287,0.2062685896799134,0.0071943887775551,351703.42876777245,0.3246460441631043,49300.0,True,113.7610822136214
Germany,Trier,9.52,309,4.33,5190375,City_4,4.0,2.9325,-0.25,2.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,139.7,135.9,76.19999999999999,0.0279617365710079,0.5108799956871766,0.6956307935702638,0.0308090614886731,5202119.225993376,0.3245567321732558,49300.0,True,136.89617138486955
